@ HyperIMU -ianovir - 2018
@ Date:Wed Oct 30 12:35:57 GMT+05:00 2019, Sampling Rate:100ms

timestamp,LSM6DSL_Acceleration_Sensor.x,LSM6DSL_Acceleration_Sensor.y,LSM6DSL_Acceleration_Sensor.z,LSM6DSL_Gyroscope_Sensor.x,LSM6DSL_Gyroscope_Sensor.y,LSM6DSL_Gyroscope_Sensor.z,AK09916C_Magnetic_field_Sensor.x,AK09916C_Magnetic_field_Sensor.y,AK09916C_Magnetic_field_Sensor.z,GPS.lat,GPS.long,GPS.alt
1572420957183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1572420957284,-3.955342,5.0207944,7.1373334,0.095370725,0.06741814,0.015219097,22.619999,38.94,6.2999997,0.0,0.0,0.0
1572420957385,-4.450957,4.9992456,6.938608,-0.099495284,0.05703343,-0.021432817,23.16,38.82,7.5,0.0,0.0,0.0
1572420957487,-4.398283,5.0040345,7.412675,0.0501667,-0.04742452,0.01216477,23.16,39.36,7.56,0.0,0.0,0.0
1572420957586,-4.309695,4.946572,7.3743663,-0.033521842,-0.0034422257,0.018884288,22.859999,39.48,7.14,0.0,0.0,0.0
1572420957688,-4.331243,4.98488,6.775798,-0.07933673,0.0075533483,-0.039758775,23.16,38.76,6.8999996,0.0,0.0,0.0
1572420957789,-4.5084195,4.7765784,6.840443,-0.37804982,0.24334733,-0.056252137,22.859999,38.879997,7.74,0.0,0.0,0.0
1572420957890,-4.5515165,4.6329217,7.6066113,0.0031300737,0.16026965,-0.0012742649,24.06,39.899998,7.62,0.0,0.0,0.0
1572420957991,-4.051113,3.859571,6.4956675,0.36354056,1.1999623,-0.13505375,24.539999,40.14,8.639999,0.0,0.0,0.0
1572420958092,-5.195576,4.1780095,7.57788,-0.28397658,0.1840934,-0.047089156,24.6,40.14,9.719999,0.0,0.0,0.0
1572420958193,-5.044737,4.453351,7.1732473,0.22120897,0.0044990224,0.08485773,24.539999,40.379997,9.599999,0.0,0.0,0.0
1572420958292,-5.030371,4.436591,6.9122715,-0.061621644,0.031377092,0.02254948,24.539999,40.44,9.66,0.0,0.0,0.0
1572420958393,-5.1596622,4.4126487,7.1133904,0.031229876,-0.004053091,-0.0012742649,24.539999,40.559998,10.2,0.0,0.0,0.0
1572420958494,-5.1429024,4.4126487,7.0176196,0.014125648,0.009385944,0.01094304,25.68,41.04,10.08,0.0,0.0,0.0
1572420958594,-5.1093826,4.4629283,7.1732473,0.0025192082,-0.0016096298,-0.0055503217,24.48,40.5,10.62,0.0,0.0,0.0
1572420958695,-5.1692395,4.410254,6.691998,-0.037187032,-0.08163298,0.017051693,24.72,40.079998,9.9,0.0,0.0,0.0
1572420958797,-5.0638914,4.443774,7.1971903,0.061162274,-0.12195008,-0.047089156,24.24,39.84,10.44,0.0,0.0,0.0
1572420958899,-3.1412885,4.02717,9.387952,-0.58940923,-0.14271949,-0.0055503217,24.66,40.14,10.0199995,0.0,0.0,0.0
1572420959001,-4.6664414,4.764607,6.6704497,-0.1080474,0.1437763,0.13494869,24.24,39.899998,9.54,0.0,0.0,0.0
1572420959102,-3.964919,3.5243726,7.84125,-0.034743574,-0.18975613,-0.20041634,24.66,39.899998,8.58,0.0,0.0,0.0
1572420959202,-4.106181,4.4916596,7.5060515,-0.24793555,-1.310083,-0.4716405,23.58,41.52,7.5,0.0,0.0,0.0
1572420959304,-0.9194015,2.8970726,8.600235,-2.231415,-2.5965652,-0.36962602,21.84,42.96,3.1799998,0.0,0.0,0.0
1572420959404,-2.3966691,2.2099156,9.596253,-0.6315589,-0.058420096,-0.15460144,14.219999,49.739998,-4.44,0.0,0.0,0.0
1572420959510,-0.14605077,0.19633053,11.449422,0.48449188,-0.07735692,-0.72942567,14.4,50.219997,-3.8999999,0.0,0.0,0.0
1572420959612,-3.3495905,2.2745612,8.973742,1.0684791,1.364285,-0.1729274,15.96,49.379997,-1.86,0.0,0.0,0.0
1572420959711,-3.9505534,3.2538195,6.8069234,0.1625659,0.35941175,0.14655513,19.38,46.559998,1.3199999,0.0,0.0,0.0
1572420959810,-3.512401,3.1436827,7.728719,-0.06223251,-0.4731976,0.18992656,20.76,46.5,2.1599998,0.0,0.0,0.0
1572420959909,-2.8420043,3.1053743,8.717555,-0.119653836,0.083300635,-0.020211088,19.08,47.1,-0.24,0.0,0.0,0.0
1572420960011,-4.3695517,2.9760835,8.535589,-0.3316241,0.24884513,0.12517485,19.02,46.68,-0.24,0.0,0.0,0.0
1572420960111,-3.7925313,2.4948344,9.340066,-0.15141883,-0.0987372,0.053703606,19.02,46.68,-0.17999999,0.0,0.0,0.0
1572420960214,-3.0048149,2.8898897,7.965752,-0.09521923,-0.5691035,0.12028792,17.82,46.68,-0.71999997,0.0,0.0,0.0
1572420960310,-4.6664414,3.9194279,9.498088,1.7789153,1.1663648,-0.9933194,18.84,46.92,-0.59999996,0.0,0.0,0.0
1572420960411,-4.2809634,3.9529476,7.091842,-0.16730133,0.07413766,0.010332175,20.64,45.66,1.9799999,0.0,0.0,0.0
1572420960513,-4.896292,3.4238129,7.5084457,-0.14103411,0.038707476,-0.13688636,20.279999,46.68,3.24,0.0,0.0,0.0
