Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (G),Accelerometer Y (G),Accelerometer Z (G),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,0,0,0,0.48,0.12,1.02,,,
2,0.06,0.08,0.2,-0.14,0.03,1.02,,,
3,-0.08,0.12,0.07,-0.14,0.03,1.02,,,
4,-0.05,0.03,0.03,-0.14,0.03,1.02,,,
5,0.12,-0.15,-0.2,-0.14,0.03,1.02,,,
6,-0.11,-0.2,-0.08,-0.13,0.03,1.03,,,
7,-0.02,0.13,0.02,-0.14,0.03,1.02,,,
8,-0.03,0.62,-0.04,-0.14,0.03,1.02,,,
9,-0.21,1.09,0.09,-0.13,0.04,1.01,,,
10,-0.03,0.55,-0.05,-0.14,0.03,1.02,,,
11,0.05,0.44,-0.06,-0.14,0.04,1.02,,,
12,0.27,-0.1,0.26,-0.13,0.03,1.02,,,
13,-0.12,-0.2,0.17,-0.14,0.03,1.02,,,
14,-0.07,-0.1,0.15,-0.14,0.04,1.02,,,
15,-0.15,0.38,-0.07,-0.13,0.03,1.02,,,
16,0.11,0.43,0.2,-0.14,0.03,1.02,,,
17,0.1,0.28,-0.21,-0.14,0.03,1.02,,,
18,0.01,0.09,-0.23,-0.13,0.04,1.02,,,
19,0.05,0.12,-0.04,-0.14,0.03,1.02,,,
20,0.05,0.06,-0.15,-0.13,0.04,1.03,,,
21,0.11,0.04,-0.1,-0.14,0.03,1.01,,,
22,0.19,-0.26,-0.04,-0.13,0.04,1.02,,,
23,0.04,-0.26,0.29,-0.14,0.03,1.02,,,
24,0.07,-0.39,-0.19,-0.13,0.03,1.02,,,
25,0.16,-0.39,-0.09,-0.13,0.03,1.02,,,
26,0.2,0.02,0.07,-0.13,0.03,1.02,,,
27,0.16,-0.07,0.04,-0.14,0.04,1.01,,,
28,-0.05,-0.48,0.21,-0.14,0.03,1.02,,,
